Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carrers_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
UAE Team Emirates;oliveira rui;-0.281;23;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;23.0;-0.483;17.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;17.0;410;1996-09-05
EF Education - EasyPost;lovidius edvin;-0.291;1;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;411;2002-03-02
Soudal Quick-Step;huby antoine;-0.291;2;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;412;2001-01-19
Soudal Quick-Step;gelders gil;-0.293;5;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;5.0;-0.879;1.0;0.0;42.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;413;2002-12-16
INEOS Grenadiers;wurf cameron;-0.293;21;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;21.0;-0.219;19.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;19.0;414;1983-08-03
Cofidis;lastra jonathan;-0.296;35;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;35.0;-0.289;31.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;31.0;415;1993-06-03
Alpecin - Deceuninck;plowright jensen;-0.298;6;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;6.0;-0.028;4.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;416;2000-05-15
Alpecin - Deceuninck;groves kaden;-0.299;20;39;53.0;#FFA500;1.0;5.0;1.0;5.0;2.0;10.0;20.0;-0.28;15.0;39.0;54.0;#FFA500;1.0;6.67;1.0;6.67;2.0;13.33;15.0;417;1998-12-02
Cofidis;allegaert piet;-0.305;28;5;53.0;#FFA500;0.0;0.0;1.0;3.57;3.0;10.71;28.0;-0.236;25.0;5.0;55.0;#FFA500;0.0;0.0;1.0;4.0;3.0;12.0;25.0;418;1995-01-20
Lidl - Trek;ghebreigzabhier amanuel;-0.308;36;3;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;36.0;-0.225;31.0;3.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;31.0;419;1994-08-17
Lidl - Trek;mosca jacopo;-0.309;37;3;53.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.7;37.0;-0.299;31.0;3.0;53.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.23;31.0;420;1993-08-29
Soudal Quick-Step;vangheluwe warre;-0.311;4;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;;;;;;;;;;;;;421;2001-07-23
Team Jayco AlUla;jansen amund grondahl;-0.313;31;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;31.0;-0.263;27.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;27.0;422;1994-02-11
Cofidis;robeet ludovic;-0.313;26;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;26.0;-0.37;23.0;0.0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;23.0;423;1994-05-22
Alpecin - Deceuninck;boven lars;-0.324;4;0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.026;2.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;2.0;424;2001-08-01
Team Jayco AlUla;berhe welay hagos;-0.35;10;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;10.0;-0.578;3.0;0.0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;425;2001-10-22
INEOS Grenadiers;swift ben;-0.35;59;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;59.0;-0.338;55.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;55.0;426;1987-11-05
Red Bull - BORA - hansgrohe;meeus jordi;-0.357;26;0;52.0;#FFA500;0.0;0.0;0.0;0.0;2.0;7.69;26.0;-0.398;22.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.55;22.0;427;1998-07-01
Astana Qazaqstan Team;cavendish mark;-0.359;56;2;52.0;#FFA500;0.0;0.0;1.0;1.79;2.0;3.57;56.0;-0.307;50.0;2.0;53.0;#FFA500;0.0;0.0;1.0;2.0;2.0;4.0;50.0;428;1985-05-21
Arkea - B&B Hotels;venturini clement;-0.364;37;5;52.0;#FFA500;0.0;0.0;1.0;2.7;1.0;2.7;37.0;-0.37;32.0;5.0;52.0;#FFA500;0.0;0.0;1.0;3.12;1.0;3.12;32.0;429;1993-10-16
Astana Qazaqstan Team;kuzmin anton;-0.368;6;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;6.0;;;;;;;;;;;;;430;1996-11-20
Alpecin - Deceuninck;vergallito luca;-0.373;10;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.464;2.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;2.0;431;1997-09-14
Cofidis;wood harrison;-0.378;12;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;12.0;-0.294;5.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;5.0;432;2000-06-01
Arkea - B&B Hotels;albanese vincenzo;-0.379;25;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;25.0;-0.471;21.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;21.0;433;1996-11-12
Bahrain - Victorious;buratti nicolo;-0.381;2;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;-0.736;1.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;434;2001-07-07
Decathlon AG2R La Mondiale Team;de bondt dries;-0.382;29;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;29.0;-0.415;24.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;24.0;435;1991-07-04
Intermarche - Wanty;mihkels madis;-0.387;7;0;52.0;#FFA500;0.0;0.0;0.0;0.0;1.0;14.29;7.0;-0.005;5.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;20.0;5.0;436;2003-05-31
Arkea - B&B Hotels;gesbert elie;-0.39;22;0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;22.0;-0.244;20.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;20.0;437;1995-07-01
Team dsm-firmenich PostNL;naberman tim;-0.404;13;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;13.0;-0.261;7.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;7.0;438;1999-05-11
Arkea - B&B Hotels;capiot amaury;-0.405;20;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;20.0;-0.393;18.0;0.0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;18.0;439;1993-06-25
Bahrain - Victorious;pasqualon andrea;-0.405;49;0;51.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.04;49.0;-0.415;42.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.38;42.0;440;1988-01-02
Intermarche - Wanty;rex laurenz;-0.405;15;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;15.0;-0.506;9.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;9.0;441;1999-12-15
Cofidis;debeaumarche nicolas;-0.408;4;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;-0.712;1.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;442;1998-02-02
Team Jayco AlUla;porter rudy;-0.408;3;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;3.0;-0.234;2.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;443;2000-12-15
Team Jayco AlUla;maas jan;-0.409;13;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;13.0;-0.546;8.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;8.0;444;1996-02-19
Team dsm-firmenich PostNL;markl niklas;-0.417;16;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;16.0;-0.311;10.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;10.0;445;1999-03-03
Movistar Team;torres albert;-0.419;27;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;27.0;-0.41;24.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;24.0;446;1990-04-26
Alpecin - Deceuninck;sinkeldam ramon;-0.424;50;5;51.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.0;50.0;-0.414;47.0;5.0;51.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.13;47.0;447;1989-02-09
Intermarche - Wanty;rota lorenzo;-0.425;37;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;37.0;-0.459;33.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;33.0;448;1995-05-02
Red Bull - BORA - hansgrohe;benedetti cesare;-0.431;59;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;59.0;-0.439;54.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;54.0;449;1987-08-03
Movistar Team;gaviria fernando;-0.434;42;0;51.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.38;42.0;-0.329;37.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.7;37.0;450;1994-08-19
Alpecin - Deceuninck;ghys robbe;-0.436;14;0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;14.0;-0.431;9.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;9.0;451;1997-01-11
Soudal Quick-Step;warlop jordi;-0.459;15;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;15.0;-0.549;11.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;11.0;452;1996-06-04
Team dsm-firmenich PostNL;koerdt bjoern;-0.466;1;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;453;2004-07-20
Lidl - Trek;verona carlos;-0.467;58;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;58.0;-0.466;52.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;52.0;454;1992-11-04
Team dsm-firmenich PostNL;andresen tobias lund;-0.47;11;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.095;6.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;455;2002-08-20
Intermarche - Wanty;petilli simone;-0.473;35;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;35.0;-0.403;31.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;31.0;456;1993-05-04
Intermarche - Wanty;de pooter dries;-0.477;7;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;7.0;-0.421;4.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;457;2002-11-08
Intermarche - Wanty;van poppel boy;-0.486;54;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;54.0;-0.494;52.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;52.0;458;1988-01-18
Bahrain - Victorious;arashiro yukiya;-0.493;66;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;66.0;-0.503;64.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;64.0;459;1984-09-22
Team dsm-firmenich PostNL;combaud romain;-0.495;32;0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;32.0;-0.499;29.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;29.0;460;1991-04-01
Cofidis;champion thomas;-0.502;23;0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;23.0;-0.516;16.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;16.0;461;1999-09-08
Team Jayco AlUla;foldager anders;-0.504;3;0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;462;2001-07-27
Cofidis;aniolkowski stanislaw;-0.509;14;0;49.0;#FF0000;0.0;0.0;0.0;0.0;1.0;7.14;14.0;-0.255;9.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;1.0;11.11;9.0;463;1997-01-20
Astana Qazaqstan Team;fortunato lorenzo;-0.532;22;0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;22.0;-0.745;14.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;14.0;464;1996-05-09
Bahrain - Victorious;rajovic dusan;-0.533;6;0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;6.0;-0.47;5.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;5.0;465;1997-11-19
Alpecin - Deceuninck;van den bossche fabio;-0.535;16;1;49.0;#FF0000;0.0;0.0;0.0;0.0;1.0;6.25;16.0;-0.711;10.0;1.0;45.0;#FF0000;0.0;0.0;0.0;0.0;1.0;10.0;10.0;466;2000-09-21
Red Bull - BORA - hansgrohe;wandahl frederik;-0.542;14;0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;14.0;-0.557;11.0;0.0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;11.0;467;2001-05-09
Intermarche - Wanty;girmay biniam;-0.544;11;0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;11.0;-0.267;7.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;7.0;468;2000-04-02
Cofidis;elissonde kenny;-0.559;53;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;53.0;-0.534;50.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;50.0;469;1991-07-22
Soudal Quick-Step;merlier tim;-0.562;25;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;25.0;-0.445;18.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;18.0;470;1992-10-30
Groupama - FDJ;le gac olivier;-0.568;49;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;49.0;-0.49;43.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;43.0;471;1993-08-27
Team Jayco AlUla;quick blake;-0.569;6;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;6.0;-0.268;2.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;472;2000-02-26
Lidl - Trek;tesfatsion natnael;-0.57;14;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;14.0;-0.722;12.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;12.0;473;1999-05-02
Intermarche - Wanty;marit arne;-0.577;15;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;15.0;-0.517;10.0;0.0;49.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;10.0;474;1999-01-21
Team Jayco AlUla;stewart campbell;-0.602;9;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;9.0;-0.559;7.0;0.0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;7.0;475;1998-05-12
Intermarche - Wanty;planckaert baptiste;-0.604;21;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;21.0;-0.604;21.0;0.0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;21.0;476;1988-09-28
Soudal Quick-Step;magnier paul;-0.605;1;0;48.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;477;2004-04-14
Arkea - B&B Hotels;mclay daniel;-0.608;37;0;47.0;#FF0000;0.0;0.0;0.0;0.0;2.0;5.41;37.0;-0.556;30.0;0.0;48.0;#FF0000;0.0;0.0;0.0;0.0;2.0;6.67;30.0;478;1992-01-03
Red Bull - BORA - hansgrohe;haller marco;-0.628;54;0;47.0;#FF0000;0.0;0.0;0.0;0.0;2.0;3.7;54.0;-0.655;48.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;1.0;2.08;48.0;479;1991-04-01
EF Education - EasyPost;van der lee jardi christiaan;-0.63;1;0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;480;2001-08-06
UAE Team Emirates;novak domen;-0.636;25;5;47.0;#FF0000;0.0;0.0;0.0;0.0;1.0;4.0;25.0;-0.661;22.0;5.0;46.0;#FF0000;0.0;0.0;0.0;0.0;1.0;4.55;22.0;481;1995-07-12
Team Visma | Lease a Bike;kooij olav;-0.65;15;10;47.0;#FF0000;0.0;0.0;1.0;6.67;1.0;6.67;15.0;-0.564;11.0;10.0;48.0;#FF0000;0.0;0.0;1.0;9.09;1.0;9.09;11.0;482;2001-10-17
Intermarche - Wanty;thijssen gerben;-0.664;21;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;21.0;-0.638;15.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;15.0;483;1998-06-21
Astana Qazaqstan Team;vinokurov nicolas;-0.664;3;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;484;2002-07-07
Decathlon AG2R La Mondiale Team;retailleau valentin;-0.665;9;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;9.0;-0.753;3.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;485;2000-06-18
Movistar Team;pedrero antonio;-0.677;36;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;36.0;-0.62;34.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;34.0;486;1991-10-02
Decathlon AG2R La Mondiale Team;bennett sam;-0.68;37;5;46.0;#FF0000;0.0;0.0;1.0;2.7;3.0;8.11;37.0;-0.712;31.0;5.0;45.0;#FF0000;0.0;0.0;1.0;3.23;2.0;6.45;31.0;487;1990-10-16
Lidl - Trek;vergaerde otto;-0.682;28;3;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;28.0;-0.72;24.0;3.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;24.0;488;1994-07-15
Team Jayco AlUla;pena jesus david;-0.685;7;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;7.0;-2.059;1.0;0.0;40.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;1.0;489;2000-05-08
INEOS Grenadiers;rowe luke;-0.686;60;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;60.0;-0.672;58.0;0.0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;58.0;490;1990-03-10
Team dsm-firmenich PostNL;flynn sean;-0.689;10;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;10.0;-0.774;5.0;0.0;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;5.0;491;2000-03-02
Alpecin - Deceuninck;planckaert edward;-0.696;33;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;33.0;-0.629;26.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;26.0;492;1995-02-01
UAE Team Emirates;molano juan sebastian;-0.697;27;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;27.0;-0.686;23.0;0.0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;23.0;493;1994-11-04
Intermarche - Wanty;colleoni kevin;-0.697;13;4;46.0;#FF0000;0.0;0.0;0.0;0.0;2.0;15.38;13.0;-0.311;7.0;4.0;53.0;#FFA500;0.0;0.0;0.0;0.0;2.0;28.57;7.0;494;1999-11-11
Decathlon AG2R La Mondiale Team;pollefliet gianluca;-0.7;2;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;495;2002-01-28
Cofidis;mariault axel;-0.706;4;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.103;1.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;1.0;496;1998-06-07
Cofidis;toumire hugo;-0.707;12;0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;12.0;-0.454;8.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;8.0;497;2001-10-05
Intermarche - Wanty;van der hoorn taco;-0.712;24;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;24.0;-0.74;23.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;23.0;498;1993-12-04
Arkea - B&B Hotels;guglielmi simon;-0.713;23;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;23.0;-0.666;17.0;0.0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;17.0;499;1997-07-01
Groupama - FDJ;lienhard fabian;-0.719;24;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;24.0;-0.638;17.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;17.0;500;1993-09-03
Arkea - B&B Hotels;le berre mathis;-0.719;9;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;9.0;-0.624;6.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;6.0;501;2001-04-16
Astana Qazaqstan Team;selig rudiger;-0.73;40;0;45.0;#FF0000;0.0;0.0;0.0;0.0;1.0;2.5;40.0;-0.71;36.0;0.0;46.0;#FF0000;0.0;0.0;0.0;0.0;1.0;2.78;36.0;502;1989-02-19
Alpecin - Deceuninck;ballerstedt maurice;-0.739;7;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;7.0;-0.797;3.0;0.0;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;503;2001-01-16
Movistar Team;samitier sergio;-0.743;29;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;29.0;-0.716;27.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;27.0;504;1995-08-31
Soudal Quick-Step;bastiaens ayco;-0.747;8;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;8.0;-0.864;3.0;0.0;43.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;505;1996-06-03
Team Visma | Lease a Bike;van der sande tosh;-0.748;73;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;73.0;-0.729;68.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;68.0;506;1990-11-28
Arkea - B&B Hotels;barre louis;-0.752;5;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;5.0;-0.707;4.0;0.0;46.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;4.0;507;2000-04-06
Bahrain - Victorious;bauhaus phil;-0.753;27;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;27.0;-0.658;21.0;0.0;47.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;21.0;508;1994-07-08
EF Education - EasyPost;rootkin-gray jack;-0.761;5;0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;5.0;;;;;;;;;;;;;509;2002-11-05
EF Education - EasyPost;cepeda jefferson alexander;-0.773;14;20;44.0;#FF0000;0.0;0.0;1.0;7.14;1.0;7.14;14.0;-0.835;8.0;20.0;43.0;#FF0000;0.0;0.0;1.0;12.5;1.0;12.5;8.0;510;1998-06-16
Astana Qazaqstan Team;marukhin daniil;-0.788;5;0;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;5.0;;;;;;;;;;;;;511;1999-02-13
Team Jayco AlUla;mezgec luka;-0.805;51;0;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;51.0;-0.787;47.0;0.0;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;47.0;512;1988-06-27
Cofidis;larmet ilan;-0.809;2;3;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;2.0;-0.277;1.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;1.0;513;2001-06-09
Intermarche - Wanty;faure prost alexy;-0.818;5;0;43.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;5.0;;;;;;;;;;;;;514;2004-04-22
Soudal Quick-Step;hirt jan;-0.82;45;0;43.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;45.0;-0.903;40.0;0.0;42.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;40.0;515;1991-01-21
Astana Qazaqstan Team;umba santiago;-0.842;6;0;43.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;6.0;;;;;;;;;;;;;516;2002-11-20
Astana Qazaqstan Team;mulubrhan henok;-0.846;8;0;43.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;8.0;-1.109;3.0;0.0;40.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;3.0;517;1999-11-11
Decathlon AG2R La Mondiale Team;paret-peintre valentin;-0.903;16;0;42.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;16.0;-0.759;8.0;0.0;45.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;8.0;518;2001-01-01
Movistar Team;cimolai davide;-0.91;70;0;42.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;70.0;-0.896;64.0;0.0;42.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;64.0;519;1989-08-01
Team dsm-firmenich PostNL;jakobsen fabio;-0.956;27;0;41.0;#FF0000;0.0;0.0;0.0;0.0;1.0;3.7;27.0;-0.858;22.0;0.0;43.0;#FF0000;0.0;0.0;0.0;0.0;1.0;4.55;22.0;520;1996-08-31
Arkea - B&B Hotels;huys laurens;-0.963;21;0;41.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;21.0;-0.779;15.0;0.0;44.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;15.0;521;1998-09-02
Team Jayco AlUla;groenewegen dylan;-0.975;40;0;40.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;40.0;-0.932;37.0;0.0;41.0;#FF0000;0.0;0.0;0.0;0.0;0.0;0.0;37.0;522;1993-06-21
